text	label
Du kamst täglich mit deinem Vater in das Büro des Konsuls, und wir haben uns die Hände gereicht, ohne uns je in die Augen zu blicken.	nachdenklich
Ich vermutete, dass du das Fürstentum leitest, nicht er.	nachdenklich
Die Verhandlungen zogen sich in die Länge, mit Ausreden, damit wir uns berühren konnten, während dein unwissender Vater nicht aufpasste.	achtsam
Nachts haben wir verschlüsselt kommuniziert und uns unsere eigenen Welten ausgemalt.	begeistert
Du hast von den türkis- und orangefarbenen Doppelsonnenuntergänge von Je-Haran Prime erzählt, die kein Mensch je gesehen hat oder sehen würde.	begeistert
Ich murmelte, ich sei mit dem Mountainbike unterwegs gewesen, und du sagtest, ich sei wahnsinnig, einen Hang hinunterzufahren, ohne Schutz vor dem grellem Licht, was für mich den größten Reiz ausmachte.	gelassen
Dein Lachen war wie ein Sonnenstrahl im Regen im Sommer.	bewundernd
Wir wollten mehr als nur Unterhaltungen, wir wollten, dass die Gesetze über die Beziehungen zwischen den Spezies geändert werden.	bereit
Ein Tanz war eine Sache, war eine soziale Sache.	neutral
Aber es sollte nie über den Tanz hinausgehen.	traurig
Wir träumten davon, dass es in meinem Volk kein Karriereende und in deinem Volk keine Todesstrafe geben würde.	betrübt
"Wir werden es ändern", sagtest du mir während unserer nächtlichen Gespräche.	bereit
"Wir werden die Gesetze ändern, Liebes, wir werden zusammen sein."	vertrauend
Der Tag, an dem wir der Versuchung nicht widerstehen konnten, uns wieder mehr als nur die Hände reichten, war der Tag, an dem dein Vater uns gefunden hat.	erschrocken
Der Tag, an dem du dein Gesuch um eine Gesetzesänderung gestellt hast.	nachdenklich
Als dein Vater in die von dir gemieteten Räume des Konsulats einbrach und die Tür wie eine Wolke am blauen Himmel in Besitz nahm, erhellte der Tod deine Augen.	besorgt
Es ging schnell.	erschrocken
Deine Krallen waren nicht ummantelt, und deinen Händen wuchsen Reißzähne, und ich wandte mich ab, als du zuschlugst.	traurig
Dann kamst du zurück zu mir, streiftest dir die blutigen Hände ab und lächelteste, als sei nichts geschehen, denn das Lächeln war eine Sache, die unsere Spezies gemeinsam hatte.	nachdenklich
Vielleicht könntest du als Herrscher die Gesetze ändern, aber in dem Moment, als du Herrscher wurdest, hörte ich auf zu hoffen, die Gesetze könnten sich ändern.	betrübt
Du warst gekleidet wie eine deiner Wachen, ein anonymer Schleier bedeckte deinen Mund – aber ich kannte deine Augen.	achtsam
"Meine liebe Noémie", du hast meine Hand berührt, "wir kriegen das hin."	vertrauend
Ich zog mich zurück, meine Kehle schwoll an.	traurig
"Ich habe den Pfad beschritten, du kannst mein Ehepartner werden.	froh
Ich kann dieses Gesetz ändern.	bereit
Der Schmerz in deinen Augen hat mich verbrannt, weil du wusstest, dass ich nicht ja sagen würde, genauso wie du wusstest, dass du die Frage nicht hättest stellen dürfen.	traurig
Wir hatten davon geträumt, aber wir wussten beide, dass das nicht von Dauer sein würde."	traurig
Du würdest die Menschen nicht frei auf deiner Welt herumreisen lassen, das würde sich nicht ändern, nicht sofort, nicht einmal für mich.	nachdenklich
Und dein Volk lobte dich dafür, wie du zu deinem Thron gekommen warst.	neutral
Die Je-Harana waren hervorragend im Krieg.	neutral
Ich strich die grauen Falten neben deinen ebenholzfarbenen Augen glatt, und du drücktest deine Fingerspitzen, diese einst blutigen Fingerspitzen, auf meine Lippen.	vertrauend
Auf Wiedersehen.	traurig
Zumindest dieses Verständnis war da, vielleicht würde es eines Tages mehr sein.	traurig
Aber nicht mit dir, meine Liebe, nicht mit dir und mir.	akzeptierend
